19	18	19	29687	5	1	15	8	19	
14	12	30	20	15	8503	2	18	10	
53	9	13	12172	9	7	15	8	7	
36	9	23	23	16	11	13	9	13186	
27	17	24	10443	29	46	29	7	23	
29	6	10	23	13246	4	6	3	67	
7	13	7	6	6	6	11844	8	12	
19	24	11	8	64	18	25	13	9669	
9587	2	4	1	3	4	6	4	5	
87	11	11746	4	47	13	24	4	32	
19	22	15	4	4	12791	22	0	19	
7	41	3569	1	3	5	5	3	9	
24	5	5962	6	6	3	14	3	21	
15018	5	9	8	13	2	3	6	13	
21	3	29	7	9	2	13	8	19541	
9	24	17	6968	7	3	11	2	21	
23	14	15	1	10	18	7	7553	31	
7	3	9049	5	7	5	10	3	21	
18	2	2631	5	5	1	10	3	15	
2	3	3	3112	4	2	0	0	5	
1108	2	2	4	2	1	6	112	1	
104	6	19	43	42	14	22	10298	53	
21	26	12	12	13	5	15394	17	14	
3	13	7	13	8923	3	10	1	24	
10	27	17	36	11	5	16	17	58	
75	22751	260	45	12	9	18	9	75	
43	6	34	10	21	16	5833	24	26	
35	8	4295	9	15	11	17	7	17	
1580	33	43	34	31	23	58	23	72	
25	40	17	27	40	12	24	15	22	
7	43477	55	3	4	3	4	10	8	
10	21	30	8	32	15	18	2043	22	
49	6	11	2	10	3	4	10267	1	
27	0	3798	6	10	1	6	3	23	
61	12	29	41	43	13	19	14	19	
19	8	6	3	19	24829	4	8	10	
