18	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	1	0	0	0	2	0	0	2	2505	
0	1	2564	2	2	1	0	2	1	1	7	0	2	0	1	0	1	2	4	0	1	4	0	2	6	26	0	0	2	1	0	2	0	1	4	0	
2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	3	0	2	0	2	2513	4	0	0	0	4	
0	2	6	89	1	2	1	2406	0	0	1	1	0	1	153	1	0	0	1	0	1	6	1	0	3	4	0	2	1	3	0	1	0	1	4	0	
1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	2508	0	1	1	0	15	
0	0	0	4	0	0	0	0	0	3	0	0	11	46	8	1	1	1	3	0	2	2461	1	1	1	0	0	0	0	2	0	0	112	8	0	0	
1	1	0	0	7	2268	1	217	6	2	1	36	3	0	1	0	4	1	0	0	2	0	1	0	0	1	0	0	0	0	0	6	0	0	0	0	
2	0	0	0	0	5	16	4	0	139	13	20	3	0	1	0	1	1767	536	0	6	1	0	0	0	2	14	21	3	0	1	5	0	60	3	0	
6	1	0	1	0	0	0	1	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2519	
1	2	0	0	1	3	1	0	1	0	4	0	7	10	1	0	4	7	5	1	3	0	0	1	0	2620	4	1	9	2	1	0	2	0	0	0	
