0.002961	0.051786	0.003749	0.109756	0.001805	0.823141	0.002162	0.001950	0.002691	
0.005425	0.019173	0.006745	0.943838	0.002631	0.007522	0.005925	0.003512	0.005229	
0.003757	0.847682	0.010199	0.091299	0.002021	0.012317	0.013897	0.002431	0.016397	
0.006233	0.003787	0.038812	0.005451	0.010549	0.004340	0.006923	0.006943	0.916962	
0.001846	0.979347	0.004864	0.002566	0.001243	0.004659	0.001270	0.002096	0.002109	
0.014205	0.001957	0.016309	0.007863	0.008477	0.002680	0.003665	0.937774	0.007070	
0.005388	0.006083	0.174334	0.004960	0.620094	0.005770	0.003590	0.003098	0.176682	
0.011992	0.012018	0.926189	0.011897	0.006415	0.004272	0.011107	0.005679	0.010430	
0.002321	0.031369	0.003810	0.124106	0.002496	0.830509	0.001662	0.001785	0.001942	
0.075550	0.670322	0.055380	0.016959	0.005147	0.016239	0.143677	0.006313	0.010412	
