80	27646	174	122	
1702	172	1209	4183	
404	194	275	9386	
1136	6757	175	1696	
2080	237	6132	296	
3419	219	257	6157	
103	226	240	10269	
113	243	9957	302	
58	6917	150	122	
165	214	11389	1370	
7642	204	787	768	
85	194	3120	339	
88	229	187	5576	
150	306	206	11678	
155	6466	163	7377	
2918	219	610	1407	
112	832	192	5419	
111	2668	188	5138	
2073	233	218	640	
843	1763	174	81	
78	697	158	579	
368	309	5798	1084	
68	9229	156	2482	
94	5361	184	107	
96	249	196	149	
1325	217	7135	7971	
3915	206	328	1662	
65	2538	266	156	
2145	283	219	317	
81	225	231	121	
141	31184	8546	196	
121	990	175	1001	
69	7323	162	193	
74	1578	281	1504	
88	261	191	175	
6052	12931	187	146	
