33	27967	35	62	
1659	21	1090	4124	
375	53	116	9815	
1083	6628	29	1645	
2148	75	6377	240	
3499	38	154	6463	
53	41	90	10219	
69	76	11411	222	
9	6719	11	52	
125	57	11541	1304	
7602	24	659	694	
32	52	3139	267	
29	37	43	5689	
98	114	71	11640	
104	6453	20	7485	
3207	40	551	1461	
51	658	40	5352	
45	2594	56	5181	
2082	46	55	585	
790	1618	24	20	
15	534	9	500	
353	168	6904	1273	
10	9066	29	2416	
26	5322	49	40	
45	70	63	51	
1386	52	7475	8568	
4067	52	199	1650	
25	3465	132	110	
2205	114	82	250	
31	66	77	48	
82	33410	8900	143	
68	804	43	934	
11	7158	22	124	
24	1434	138	1437	
39	91	70	98	
6778	14559	60	62	
