2663	3793	1965	5325	4224	3035	4477	514	
6870	3194	4714	2268	2149	11248	265	1671	
4005	3368	4758	7332	6078	7379	4940	3519	
521	558	611	1058	863	125	985	861	
1080	257	221	426	191	261	391	95	
4657	9613	2484	3970	3770	3394	8719	2928	
979	1955	139	834	1579	389	2205	24	
631	1618	735	1993	1869	1283	2037	583	
2157	587	2353	1144	1392	2615	1905	1397	
4025	5149	3636	3697	3870	4853	2033	2290	
1121	4499	800	1257	1815	2172	2559	3705	
21040	939	20864	8231	17832	28448	16487	10351	
1078	3190	1636	2858	6463	2464	2005	1909	
3511	10783	5712	5374	8439	7951	4103	6369	
0	239	4	240	0	41	0	0	
