0	79	0	0	101	0	132	117	
9	31962	0	0	108	1	37266	1285	
116	75	62	142	152	65	21	242	
0	0	0	0	0	0	90	125	
74	0	31	0	114	68	27	85	
1	2041	0	0	0	0	4643	65	
0	39	30	0	66	0	0	81	
116	157	87	137	24	107	143	161	
0	37	0	0	30	0	92	122	
34	117	29	72	0	36	183	159	
75	84	29	34	62	66	89	286	
0	0	0	0	33	0	0	40	
0	0	0	0	0	0	0	41	
0	0	0	0	0	0	0	41	
2	0	0	279	25983	8979	0	0	
0	38	0	0	0	0	0	0	
0	0	0	0	29	0	0	0	
0	0	0	0	29	0	0	0	
1	0	0	0	6922	0	0	0	
5	0	348	1086	18280	0	0	0	
1	0	0	0	31	0	0	0	
0	0	0	0	0	0	0	0	
41	0	0	34	0	0	0	0	
10378	0	252	3256	0	0	375	0	
0	0	61	0	33	68	0	0	
0	0	31	0	0	0	0	0	
0	0	62	0	0	34	0	0	
0	0	31	0	0	0	0	0	
0	0	118	33	0	0	0	0	
5065	0	1145	662	7190	0	0	1866	
15862	0	919	1809	0	0	170	0	
237	0	455	138	0	0	172	0	
9438	9428	371	15060	3	74718	6016	3272	
0	0	31	0	0	0	0	0	
42	0	0	33	0	0	0	0	
41	0	55	0	0	0	0	0	
41	0	55	0	0	0	0	0	
10239	0	0	12192	0	242	0	17914	
38	0	0	0	0	68	0	0	
0	0	0	0	0	34	0	0	
0	0	0	0	0	34	0	0	
0	138	0	0	0	108	0	0	
76	38	61	69	0	34	0	0	
0	0	1310	0	0	0	0	0	
1	0	18668	0	0	0	0	0	
78	0	28	69	64	0	0	0	
36	0	64	103	0	0	0	0	
0	0	0	97	0	91	0	0	
0	0	0	0	107	0	0	0	
0	0	41	0	0	0	0	0	
0	0	62	0	0	0	0	0	
0	0	0	34	0	0	0	0	
310	0	0	23	0	0	0	0	
0	0	0	23	0	0	0	0	
1355	0	53	212	0	0	0	0	
38	0	0	0	0	0	0	0	
0	0	38	0	0	0	0	194	
230	0	3	0	0	0	0	2544	
0	0	0	0	29	0	0	0	
0	0	0	0	29	0	0	0	
76	0	0	0	129	0	0	0	
2	320	22837	0	210	0	0	1	
76	0	0	0	64	0	0	0	
0	1745	0	0	0	0	271	0	
0	0	41	37	0	0	0	0	
0	0	0	0	0	68	0	0	
0	0	213	0	0	0	0	0	
0	0	0	1316	0	0	0	973	
0	0	0	0	0	0	0	23	
38	0	0	0	0	0	0	0	
0	0	0	0	0	68	0	0	
0	0	172	0	0	0	0	0	
0	0	172	0	0	0	0	0	
0	0	2075	0	0	0	0	0	
24	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	
36	0	611	201	0	0	0	0	
13	0	0	0	0	0	0	0	
0	0	0	0	0	45	0	0	
38	0	0	0	0	0	0	0	
0	0	61	136	0	105	0	0	
0	0	0	0	0	0	166	0	
35	0	0	0	0	0	0	0	
0	0	29	0	0	36	0	0	
35	0	0	0	0	0	0	0	
0	0	14	0	0	0	193	0	
0	0	32	0	0	33	0	0	
0	0	0	1876	0	60	0	0	
0	0	0	0	0	34	0	0	
0	0	20	0	0	0	0	0	
0	0	23	0	0	0	0	0	
0	0	31	34	0	0	0	0	
0	0	62	0	0	0	0	0	
0	0	23	0	0	0	0	0	
0	76	0	0	0	0	0	160	
0	0	0	0	88	0	0	0	
66	0	0	37	0	0	0	0	
0	0	200	0	0	0	0	0	
0	77	0	0	0	0	0	79	
0	0	25	0	0	0	0	0	
0	0	25	0	0	0	0	0	
0	38	0	0	0	0	0	0	
0	1317	0	0	0	0	1371	216	
32	0	0	0	0	0	0	0	
788	0	0	0	0	0	0	407	
