515	1150	804	1477	580	113	251	916	1256	194	566	365	136	921	1376	1827	2019	711	1348	735	237	74	1143	1038	958	1075	1113	517	223	1212	211	935	
360	443	1469	578	1528	3	948	1619	82	624	2084	497	324	2120	99	1272	1031	708	2109	346	995	166	937	301	4413	2226	850	193	481	76	676	2821	
537	1641	1763	2200	1222	109	703	1016	1592	492	940	1008	874	2261	1215	2594	2314	653	2390	1114	875	157	979	1291	2541	1710	854	625	1266	1259	1227	1957	
69	249	211	302	154	60	71	44	298	148	202	87	268	298	295	295	379	115	157	120	126	58	136	177	32	163	112	92	300	279	247	38	
35	112	91	99	104	3	37	410	109	56	181	51	31	99	105	59	122	51	69	51	108	4	90	42	31	376	105	5	58	92	46	90	
1246	828	645	1113	611	124	499	1696	2470	278	746	338	805	1365	2128	1484	4937	1804	1085	667	355	54	2701	510	1075	1714	2579	354	1295	2262	983	784	
284	160	43	248	125	37	13	338	634	41	207	34	1	103	522	676	1004	359	418	70	93	3	582	146	136	316	569	228	20	520	8	166	
214	504	201	587	124	41	108	197	552	52	145	102	135	470	566	869	901	303	593	173	104	17	520	384	515	291	497	266	207	514	195	402	
68	219	940	296	549	35	394	495	565	165	626	432	352	934	504	532	610	123	583	193	426	122	156	192	934	715	148	158	512	569	460	543	
611	879	995	1117	1024	26	883	950	511	313	944	480	557	1806	512	1759	1970	1063	1470	722	818	85	1380	401	1886	1368	1428	447	695	579	818	1056	
545	304	192	387	208	63	175	327	738	157	237	147	1107	319	528	808	2112	888	580	220	180	87	1388	156	739	621	1156	228	972	588	1192	579	
156	1289	5460	1923	3995	1065	3982	4829	4338	3165	7049	3201	2193	8799	5232	8068	2797	187	8582	1201	3360	2325	288	1358	10460	6507	229	1847	3904	5285	4035	7083	
488	730	438	981	213	24	280	380	542	101	167	227	474	1072	485	3032	1550	626	2038	278	105	18	993	438	985	543	710	919	567	569	692	938	
1327	1197	1367	1746	688	303	912	835	1193	622	1024	711	1533	3072	873	3859	4564	2086	3053	785	560	356	3171	727	2974	1838	2719	1051	1950	963	2187	1996	
18	89	4	81	0	0	0	0	4	0	0	0	0	4	0	0	39	33	3	18	0	1	76	47	16	8	81	1	0	0	0	1	
