36084	155	331	
1264	642	6858	
1764	8555	1158	
243	7262	5410	
682	8572	878	
211	10438	336	
216	11748	469	
243	8273	1690	
288	3075	5887	
225	259	14581	
341	12026	453	
225	3855	254	
257	275	6570	
273	175	15518	
236	500	18286	
821	3087	2860	
255	6315	1624	
220	9808	293	
272	2158	979	
3513	136	209	
231	208	1559	
250	238	8547	
238	5499	10146	
203	243	9498	
242	249	328	
763	19526	455	
220	508	7052	
262	475	3266	
258	290	2353	
221	245	354	
51601	151	269	
255	2049	623	
228	248	9728	
222	363	4176	
243	285	392	
24944	150	312	
