20	149	72	29202	61	112	14	64	71	
15	146	80	73	71	8575	3	71	58	
50	127	72	11510	71	127	14	63	53	
36	133	67	92	81	135	15	65	13147	
27	138	78	9886	91	145	27	61	93	
30	144	68	71	12093	116	5	59	108	
8	135	57	57	71	129	11819	64	66	
17	150	69	81	102	132	24	63	8232	
9581	118	55	63	64	110	7	67	69	
86	141	11656	70	102	127	26	58	91	
23	187	67	68	58	12875	23	66	74	
7	181	3532	46	60	109	6	55	54	
22	138	5842	52	58	112	14	63	78	
15005	166	64	67	55	103	4	61	84	
21	153	92	55	68	111	13	68	19017	
9	161	69	6390	53	116	9	64	88	
23	166	56	61	68	131	7	7598	84	
7	119	8820	57	70	126	11	53	75	
18	133	2566	56	64	94	11	60	75	
2	150	67	3123	58	101	0	65	72	
1106	162	61	55	55	136	6	179	51	
96	137	82	98	95	115	22	8400	95	
21	173	76	62	66	115	15373	61	73	
4	132	60	64	8590	117	11	48	74	
11	178	66	91	58	112	16	62	110	
72	20923	304	101	62	117	21	66	128	
45	156	88	66	71	134	5702	72	80	
27	161	2975	77	64	95	19	60	64	
1533	173	94	88	86	134	56	85	128	
23	183	66	83	91	118	24	73	81	
7	40964	103	60	56	106	4	57	67	
12	169	89	60	87	107	19	2093	71	
50	160	71	50	61	112	6	10310	51	
27	131	3853	60	61	124	7	53	91	
60	133	78	90	106	120	20	68	67	
18	125	63	51	74	21622	5	69	49	
