000	-161968.206877	-129893.448888
001	-145967.896811	-129045.196664
002	-136223.167588	-128281.048990
003	-132431.094301	-127661.367465
004	-130460.586754	-127173.154493
005	-129337.212084	-126781.897300
006	-128611.224640	-126492.242686
007	-128093.047460	-126226.580175
008	-127602.782240	-126004.252190
009	-127258.510533	-125808.831072
010	-127037.265348	-125618.651237
011	-126816.799155	-125441.109854
012	-126611.458656	-125259.350229
013	-126357.849346	-125094.582092
014	-126221.714792	-124979.814986
015	-126122.478833	-124854.699096
016	-126002.757581	-124723.652990
017	-125915.731458	-124612.854895
018	-125708.390010	-124475.376938
019	-125598.173350	-124360.144899
020	-125481.536494	-124270.001900
021	-125399.498824	-124157.194315
022	-125313.090441	-124068.558892
023	-125203.785879	-124005.545838
024	-125131.673971	-123911.111052
025	-125080.528318	-123861.451142
026	-125041.946025	-123778.411681
027	-125026.684896	-123733.700065
028	-124920.668835	-123647.566387
029	-124830.718797	-123613.658702
030	-124762.250933	-123562.939710
031	-124727.407171	-123489.003104
032	-124699.316670	-123464.755031
033	-124616.853489	-123393.092897
034	-124576.910078	-123371.820383
035	-124550.383056	-123350.203046
036	-124539.601257	-123295.077729
037	-124498.468979	-123249.542628
038	-124435.081093	-123193.858308
039	-124380.735658	-123169.925861
040	-124355.302191	-123140.368623
041	-124332.253273	-123091.788549
042	-124310.963643	-123097.517547
043	-124250.392615	-123033.544680
044	-124233.621554	-123030.468122
045	-124236.833918	-123021.545457
046	-124201.676917	-122990.827205
047	-124190.415442	-122953.435566
048	-124142.927373	-122910.884573
049	-124126.603426	-122914.141371
050	-124112.243705	-122899.981898
051	-124089.619451	-122884.684799
052	-124099.409153	-122885.552394
053	-124026.641740	-122833.106913
054	-124007.138477	-122828.531441
055	-123995.111804	-122832.000231
056	-123978.014308	-122798.393589
057	-123979.822387	-122774.199830
058	-123934.693365	-122754.897593
059	-123904.861305	-122749.389761
060	-123901.215803	-122741.394599
061	-123902.586476	-122727.973042
062	-123903.504363	-122696.737206
063	-123867.356991	-122697.470320
064	-123855.844341	-122688.746127
065	-123832.317443	-122683.106044
066	-123820.916386	-122660.087360
067	-123830.862417	-122617.214213
068	-123795.805819	-122608.754534
069	-123806.211002	-122618.271363
070	-123760.099313	-122618.269048
071	-123747.775162	-122584.212102
072	-123751.102892	-122557.781199
073	-123708.741891	-122550.168789
074	-123702.942119	-122547.957116
075	-123683.958126	-122541.903021
076	-123669.008927	-122537.198281
077	-123687.280569	-122524.097582
078	-123666.497197	-122512.697849
079	-123648.504067	-122515.244850
080	-123621.501136	-122478.945273
081	-123633.571338	-122475.773352
082	-123641.377603	-122464.399687
083	-123605.014570	-122447.565679
084	-123605.539455	-122453.958812
085	-123603.776158	-122447.264211
086	-123610.054450	-122443.881788
087	-123592.382330	-122407.299622
088	-123581.283096	-122399.254271
089	-123560.584428	-122408.720866
090	-123529.047440	-122389.686747
091	-123558.440570	-122401.256683
092	-123579.895845	-122393.369686
093	-123539.823669	-122377.229287
094	-123545.304240	-122358.595386
095	-123532.845959	-122344.130037
096	-123536.352188	-122376.460794
097	-123534.293802	-122359.371752
098	-123500.244016	-122329.540492
099	-123485.871532	-122335.271551
