509	0	0	3	0	0	2	1	1	0	0	0	2	0	1	0	0	0	4	98	2	0	1	0	2	3	1	1	2	8	279	0	1	0	0	4615	
0	5	1954	7	1706	0	3	4	2	1	21	0	1	0	0	1799	2	4	6	3	3	0	6	0	0	89	7	1	2	1	5	5	1	1	0	0	
469	1	0	51	23	1	42	31	5	1	58	0	0	2	1	0	2	27	3	10	2	2	24	4	0	745	5	0	1	0	4015	1	0	1	4	4	
2	7	3	188	0	2	1	3568	3	165	1	3	2	3	1591	1	4	15	4	4	1	17	5	21	9	0	12	12	2	8	2	2	0	2	30	0	
2	1	0	0	1	1	0	2	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	4500	0	1	4	1	13	
2	0	0	1	5	12	0	1	9	26	0	1	37	5	2	2	3	2	2	2	1	5517	1	7	0	1	0	3	2	1	0	1	12	0	7	0	
0	15	3	16	0	2675	1	971	7	566	6	401	5	1	0	7	0	3	8	0	0	4	2	837	1	16	3	2	0	0	2	2	0	2	1	0	
0	0	21	1	8	9	23	16	1	1	1	40	355	18	9	12	7	729	313	2	0	1	9	1	5	36	1	3955	0	6	13	0	4	23	1	1	
674	2	4	0	1	2	1	0	1	1	3	2	3	0	2	2	0	1	0	6	0	0	1	3	0	0	0	0	0	0	169	1	0	1	4	4652	
5	71	23	0	0	1	5	2	1	7	1	2	231	69	15	29	2	3	5	11	6	0	5	7	4	3921	820	0	402	3	1	7	7	2	14	5	
