0	-96854.315787
1	-96862.502347
2	-96848.240644
3	-96848.920442
4	-96865.341276
5	-96856.710165
6	-96850.082099
7	-96859.771110
8	-96854.808596
9	-96875.314475
10	-96864.908484
11	-96880.400026
12	-96842.714883
13	-96874.083613
14	-96852.847646
15	-96861.629384
16	-96856.075526
17	-96868.177284
18	-96854.468849
19	-96853.019225
20	-96858.308826
21	-96848.220818
22	-96856.799018
23	-96852.281381
24	-96855.613227
25	-96847.909781
26	-96827.841682
27	-96836.271148
28	-96850.655736
29	-96843.651066
30	-96844.859875
31	-96836.983545
32	-96852.562380
33	-96862.843410
34	-96851.837247
35	-96832.690515
36	-96846.902341
37	-96865.564131
38	-96838.627024
39	-96856.662442
40	-96853.465239
41	-96861.730251
42	-96843.164444
43	-96862.555426
44	-96848.136685
45	-96862.116416
46	-96846.267906
47	-96850.466869
48	-96862.524508
49	-96831.792824
